Date,State,State_Code,Confimed,Recovered,Deceased,Active
14/03/2020,Andaman and Nicobar Islands,AN,0,0,0,0
14/03/2020,Andhra Pradesh,AP,1,0,0,1
14/03/2020,Arunachal Pradesh,AR,0,0,0,0
14/03/2020,Assam,AS,0,0,0,0
14/03/2020,Bihar,BR,0,0,0,0
14/03/2020,Chandigarh,CH,0,0,0,0
14/03/2020,Chhattisgarh,CT,0,0,0,0
14/03/2020,Dadra and Nagar Haveli,DN,0,0,0,0
14/03/2020,Daman and Diu,DD,0,0,0,0
14/03/2020,Delhi,DL,7,1,1,5
14/03/2020,Goa,GA,0,0,0,0
14/03/2020,Gujarat,GJ,0,0,0,0
14/03/2020,Haryana,HR,14,0,0,14
14/03/2020,Himachal Pradesh,HP,0,0,0,0
14/03/2020,Jammu and Kashmir,JK,2,0,0,2
14/03/2020,Jharkhand,JH,0,0,0,0
14/03/2020,Karnataka,KA,6,0,1,5
14/03/2020,Kerala,KL,19,3,0,16
14/03/2020,Ladakh,LA,0,0,0,0
14/03/2020,Lakshadweep,LD,0,0,0,0
14/03/2020,Madhya Pradesh,MP,0,0,0,0
14/03/2020,Maharashtra,MH,14,0,0,14
14/03/2020,Manipur,MN,0,0,0,0
14/03/2020,Meghalaya,ML,0,0,0,0
14/03/2020,Mizoram,MZ,0,0,0,0
14/03/2020,Nagaland,NL,0,0,0,0
14/03/2020,Odisha,OR,0,0,0,0
14/03/2020,Puducherry,PY,0,0,0,0
14/03/2020,Punjab,PB,1,0,0,1
14/03/2020,Rajasthan,RJ,3,1,0,2
14/03/2020,Sikkim,SK,0,0,0,0
14/03/2020,Tamil Nadu,TN,1,0,0,1
14/03/2020,Telangana,TG,1,0,0,1
14/03/2020,Tripura,TR,0,0,0,0
14/03/2020,Uttar Pradesh,UP,12,4,0,8
14/03/2020,Uttarakhand,UT,0,0,0,0
14/03/2020,West Bengal,WB,0,0,0,0
15/03/2020,Andaman and Nicobar Islands,AN,0,0,0,0
15/03/2020,Andhra Pradesh,AP,0,0,0,0
15/03/2020,Arunachal Pradesh,AR,0,0,0,0
15/03/2020,Assam,AS,0,0,0,0
15/03/2020,Bihar,BR,0,0,0,0
15/03/2020,Chandigarh,CH,0,0,0,0
15/03/2020,Chhattisgarh,CT,0,0,0,0
15/03/2020,Dadra and Nagar Haveli,DN,0,0,0,0
15/03/2020,Daman and Diu,DD,0,0,0,0
15/03/2020,Delhi,DL,0,1,0,-1
15/03/2020,Goa,GA,0,0,0,0
15/03/2020,Gujarat,GJ,0,0,0,0
15/03/2020,Haryana,HR,0,0,0,0
15/03/2020,Himachal Pradesh,HP,0,0,0,0
15/03/2020,Jammu and Kashmir,JK,0,0,0,0
15/03/2020,Jharkhand,JH,0,0,0,0
15/03/2020,Karnataka,KA,0,0,0,0
15/03/2020,Kerala,KL,5,0,0,5
15/03/2020,Ladakh,LA,0,0,0,0
15/03/2020,Lakshadweep,LD,0,0,0,0
15/03/2020,Madhya Pradesh,MP,0,0,0,0
15/03/2020,Maharashtra,MH,18,0,0,18
15/03/2020,Manipur,MN,0,0,0,0
15/03/2020,Meghalaya,ML,0,0,0,0
15/03/2020,Mizoram,MZ,0,0,0,0
15/03/2020,Nagaland,NL,0,0,0,0
15/03/2020,Odisha,OR,0,0,0,0
15/03/2020,Puducherry,PY,0,0,0,0
15/03/2020,Punjab,PB,0,0,0,0
15/03/2020,Rajasthan,RJ,1,2,0,-1
15/03/2020,Sikkim,SK,0,0,0,0
15/03/2020,Tamil Nadu,TN,0,0,0,0
15/03/2020,Telangana,TG,2,1,0,1
15/03/2020,Tripura,TR,0,0,0,0
15/03/2020,Uttar Pradesh,UP,1,0,0,1
15/03/2020,Uttarakhand,UT,0,0,0,0
15/03/2020,West Bengal,WB,0,0,0,0
16/03/2020,Andaman and Nicobar Islands,AN,0,0,0,0
16/03/2020,Andhra Pradesh,AP,0,0,0,0
16/03/2020,Arunachal Pradesh,AR,0,0,0,0
16/03/2020,Assam,AS,0,0,0,0
16/03/2020,Bihar,BR,0,0,0,0
16/03/2020,Chandigarh,CH,0,0,0,0
16/03/2020,Chhattisgarh,CT,0,0,0,0
16/03/2020,Dadra and Nagar Haveli,DN,0,0,0,0
16/03/2020,Daman and Diu,DD,0,0,0,0
16/03/2020,Delhi,DL,0,0,0,0
16/03/2020,Goa,GA,0,0,0,0
16/03/2020,Gujarat,GJ,0,0,0,0
16/03/2020,Haryana,HR,0,0,0,0
16/03/2020,Himachal Pradesh,HP,0,0,0,0
16/03/2020,Jammu and Kashmir,JK,1,0,0,1
16/03/2020,Jharkhand,JH,0,0,0,0
16/03/2020,Karnataka,KA,1,0,0,1
16/03/2020,Kerala,KL,3,0,0,3
16/03/2020,Ladakh,LA,0,0,0,0
16/03/2020,Lakshadweep,LD,0,0,0,0
16/03/2020,Madhya Pradesh,MP,,0,0,0
16/03/2020,Maharashtra,MH,6,0,0,6
16/03/2020,Manipur,MN,0,0,0,0
16/03/2020,Meghalaya,ML,0,0,0,0
16/03/2020,Mizoram,MZ,0,0,0,0
16/03/2020,Nagaland,NL,0,0,0,0
16/03/2020,Odisha,OR,1,0,0,1
